Name,Date,Symbol,Open,High,Low,Close,Volume SOL
Solana,30/12/2021,SOL,170.65,175.74,168.17,172.52,1022709.31
Solana,31/12/2021,SOL,172.53,177.65,167.67,169.99,1026603.34
Solana,01/01/2022,SOL,170.01,179.2,169.93,179.06,634599.39
Solana,02/01/2022,SOL,179.06,179.53,174.31,176.35,620087.38
Solana,03/01/2022,SOL,176.34,176.49,166.59,170.15,1031316.43
Solana,04/01/2022,SOL,170.14,173.93,166.47,167.72,1041332.63
Solana,05/01/2022,SOL,167.74,171.32,144.92,154.52,1659848.17
Solana,06/01/2022,SOL,154.48,154.8,145.98,150.26,1575071.3
Solana,07/01/2022,SOL,150.28,150.72,133.08,136.45,2719397.3
Solana,08/01/2022,SOL,136.43,148.11,133,142.14,2695415.51
Solana,09/01/2022,SOL,142.1,145.71,137.83,140.82,1435153.15
Solana,10/01/2022,SOL,140.82,143.86,130,135.86,1894512.51
Solana,11/01/2022,SOL,135.84,143.5,133.58,140.2,1328579.57
Solana,12/01/2022,SOL,140.19,153.39,138.22,151.51,1946788.76
Solana,13/01/2022,SOL,151.5,157.8,145.41,146.14,1984121.59
Solana,14/01/2022,SOL,146.13,150.56,141.84,146.17,1428145.3
Solana,15/01/2022,SOL,146.18,149.49,143.9,147.64,865014.75
Solana,16/01/2022,SOL,147.61,151.96,146.09,147.98,964270.14
Solana,17/01/2022,SOL,147.98,148.29,137.02,139.8,1297654.14
Solana,18/01/2022,SOL,139.81,142.77,134.39,141.22,1254337.17
Solana,19/01/2022,SOL,141.32,142.7,132.77,135.25,1175171.39
Solana,20/01/2022,SOL,135.23,143.83,126.01,127.54,1464593.98
Solana,21/01/2022,SOL,127.54,128.73,106.11,112.27,4523020.69
Solana,22/01/2022,SOL,112.24,114.89,87.73,94.54,6455608.98
Solana,23/01/2022,SOL,94.57,104.82,93.25,99.78,3561751.04
Solana,24/01/2022,SOL,99.74,99.83,80.83,91.93,6990036.71
Solana,25/01/2022,SOL,91.94,99.95,87.41,94.67,3482711.32
Solana,26/01/2022,SOL,94.65,104.43,89.19,92.12,4501340.69
Solana,27/01/2022,SOL,92.11,94.6,85.71,89.51,3530017.76
Solana,28/01/2022,SOL,89.51,93.55,87.21,91.34,2647317.17
Solana,29/01/2022,SOL,91.35,98.93,90.5,96.13,2050891.76
Solana,30/01/2022,SOL,96.15,97.6,91.38,93.29,1258037.51
Solana,31/01/2022,SOL,93.26,101.4,89.18,99.49,2414101.55
Solana,01/02/2022,SOL,99.5,113.66,99.02,110.02,4190507.65
Solana,02/02/2022,SOL,109.99,112.35,96.99,101.88,4863358.1
Solana,03/02/2022,SOL,101.91,103.13,94,101.77,3886563.56
Solana,04/02/2022,SOL,101.83,112.81,100.28,112.62,4186388.28
Solana,05/02/2022,SOL,112.63,118.6,110.22,113.75,2649019.14
Solana,06/02/2022,SOL,113.74,116.06,111.09,115.28,1561795.12
Solana,07/02/2022,SOL,115.26,121.93,112.69,117.55,2730695.8
Solana,08/02/2022,SOL,117.57,120.36,109.66,113.45,2811497.5
Solana,09/02/2022,SOL,113.44,117.08,109.4,113.93,2114411.38
Solana,10/02/2022,SOL,113.96,115.38,105.68,106.17,2781581.77
Solana,11/02/2022,SOL,106.18,108.14,95.14,96.53,2537227.68
Solana,12/02/2022,SOL,96.53,99.79,92.8,95.96,1803930.67
Solana,13/02/2022,SOL,95.98,97.36,91.35,92.85,1216083.38
Solana,14/02/2022,SOL,92.85,97.99,90.72,96.37,1792721.3
Solana,15/02/2022,SOL,96.39,105.77,96.38,105.52,2362223.45
Solana,16/02/2022,SOL,105.52,105.6,98.27,101.86,2123159.11
Solana,17/02/2022,SOL,101.85,102.82,92.33,93.52,2001081.3
Solana,18/02/2022,SOL,93.55,96.37,89.31,89.86,2010076.65
Solana,19/02/2022,SOL,89.86,92.75,88.6,91.27,1285578.14
Solana,20/02/2022,SOL,91.27,94.5,85.56,90.72,2559473.54
Solana,21/02/2022,SOL,90.7,96.14,82.62,82.96,4063082.8
Solana,22/02/2022,SOL,82.95,87.56,81.06,86.38,2835554.36
Solana,23/02/2022,SOL,86.39,93.4,84.38,84.59,3193694.1
Solana,24/02/2022,SOL,84.58,93.9,75.35,89.36,7497540.08
Solana,25/02/2022,SOL,89.35,95,86.86,92.71,3691896.58
Solana,26/02/2022,SOL,92.73,95.49,89.23,90.23,2279602.17
Solana,27/02/2022,SOL,90.25,92.19,84.08,85.63,2593533.97
Solana,28/02/2022,SOL,85.61,103,84.17,99.68,4212075.57
Solana,01/03/2022,SOL,99.67,102.03,94.21,98.66,3665336.76
Solana,02/03/2022,SOL,98.65,106.43,96.76,100.68,4306326.64
Solana,03/03/2022,SOL,100.69,101.7,94,95.62,2595560.67
Solana,04/03/2022,SOL,95.63,95.94,87,88.32,2854970.19
Solana,05/03/2022,SOL,88.33,91.22,86,89.63,1495553.5
Solana,06/03/2022,SOL,89.61,89.96,84.09,84.57,1828270.57
Solana,07/03/2022,SOL,84.58,86.71,79.92,81.66,3230989.34
Solana,08/03/2022,SOL,81.65,85.04,81.3,82.32,2604534.79
Solana,09/03/2022,SOL,82.32,89.92,81.9,88.06,3355218.73
Solana,10/03/2022,SOL,88.06,88.57,80.63,82.87,2828491.21
Solana,11/03/2022,SOL,82.86,84.29,80.07,80.67,2528334.85
Solana,12/03/2022,SOL,80.67,82.75,80.57,81.38,1362268.13
Solana,13/03/2022,SOL,81.4,83.34,77.65,78.73,2009434.97
Solana,14/03/2022,SOL,78.72,82.29,78,81.22,2079919.39
Solana,15/03/2022,SOL,81.23,85.99,78.72,82.84,2123603.37
Solana,16/03/2022,SOL,82.84,87.98,81.53,87.77,2638790.33
Solana,17/03/2022,SOL,87.77,91,86.58,87.8,2616451.8
Solana,18/03/2022,SOL,87.8,92.28,84.41,89.8,2935949.01
Solana,19/03/2022,SOL,89.81,94.55,89.25,92.31,2058348.96
Solana,20/03/2022,SOL,92.31,92.55,87.82,88.62,1500458.29
Solana,21/03/2022,SOL,88.62,91.28,86.74,88.59,1985082.57
Solana,22/03/2022,SOL,88.58,93.98,88,90.43,2611345.56
Solana,23/03/2022,SOL,90.44,96.36,89.19,94.89,2854825.2
Solana,24/03/2022,SOL,94.88,103.7,93.26,102.32,4777008.51
Solana,25/03/2022,SOL,102.32,104.86,96.95,98.6,3360440.57
Solana,26/03/2022,SOL,98.6,103.4,97.63,101.73,1906343.44
Solana,27/03/2022,SOL,101.73,107.46,98.77,107.04,2351080.64
Solana,28/03/2022,SOL,107.04,113.87,105.22,105.75,4146023.22
Solana,29/03/2022,SOL,105.75,115.7,105.49,111.62,3727259.92
Solana,30/03/2022,SOL,111.62,125.26,107.11,120.82,5250424.16
Solana,31/03/2022,SOL,120.82,129.5,119.95,122.77,5143974.9
Solana,01/04/2022,SOL,122.79,138.4,117.39,134.52,5505077.63
Solana,02/04/2022,SOL,134.53,143.51,131.47,132.49,4193984.2
Solana,03/04/2022,SOL,132.48,141.11,130.52,136.9,2964507.05
Solana,04/04/2022,SOL,136.9,138.29,125.82,132.14,3456901.43
Solana,05/04/2022,SOL,132.14,136.63,126.07,126.87,2833885.54
Solana,06/04/2022,SOL,126.88,127.4,112.1,112.95,4266870.2
Solana,07/04/2022,SOL,112.94,120,110.88,118.48,3326346.75
Solana,08/04/2022,SOL,118.47,122.42,108.1,109.92,3328966.49
Solana,09/04/2022,SOL,109.92,113.69,108.28,112.96,1376896.77
Solana,10/04/2022,SOL,112.97,116.09,109.71,111.07,1560720.04
Solana,11/04/2022,SOL,111.06,111.94,98.1,99.67,3332133.13
Solana,12/04/2022,SOL,99.64,109.36,98.31,103.22,3527634.19
Solana,13/04/2022,SOL,103.21,106.04,100.09,104.94,2204306.4
Solana,14/04/2022,SOL,104.92,107.72,98.77,100.77,2711073.76
Solana,15/04/2022,SOL,100.77,102.91,99.55,101.31,1384490.37
Solana,16/04/2022,SOL,101.38,103.5,100.71,102.06,1006216.36
Solana,17/04/2022,SOL,102.06,105.44,99.62,100.15,1509800.04
Solana,18/04/2022,SOL,100.15,102.65,94.62,102.33,2751434.83
Solana,19/04/2022,SOL,102.37,109,101.02,108.51,2675360.43
Solana,20/04/2022,SOL,108.51,110.9,104.25,105.59,2768156.81
Solana,21/04/2022,SOL,105.58,110,99.86,101.78,2671646.36
Solana,22/04/2022,SOL,101.78,103.55,99.19,100.55,1777613.85
Solana,23/04/2022,SOL,100.55,102.9,98.31,100.63,1081628.14
Solana,24/04/2022,SOL,100.63,102.31,98.55,99.23,1064136.15
Solana,25/04/2022,SOL,99.22,101.59,94.32,100.99,2317293.8
Solana,26/04/2022,SOL,100.98,101.98,94.61,95.7,1897735.14
Solana,27/04/2022,SOL,95.7,100.79,94.89,98.36,1833742.63
Solana,28/04/2022,SOL,98.35,100.55,96.33,98.24,1849394.04
Solana,29/04/2022,SOL,98.23,98.68,92.35,93.96,1736234.87
Solana,30/04/2022,SOL,93.96,94.95,81.91,84.63,1829537.27
Solana,01/05/2022,SOL,84.63,93.12,84.15,89.68,2353897.93
Solana,02/05/2022,SOL,89.67,90.89,85.1,87.5,1915805.97
Solana,03/05/2022,SOL,87.49,88.81,84.66,85.86,1562366.45
Solana,04/05/2022,SOL,85.86,93.06,85.47,92.77,2246070.16
Solana,05/05/2022,SOL,92.77,95.25,81.32,84.52,3311421.92
Solana,06/05/2022,SOL,84.52,84.84,79.98,81.68,2607225.81
Solana,07/05/2022,SOL,81.67,82.33,77.03,78.86,1906773.25
Solana,08/05/2022,SOL,78.86,79.41,73.69,75.38,2736836.4
Solana,09/05/2022,SOL,75.39,77.21,61.7,62.16,5846036.682
Solana,10/05/2022,SOL,62.16,74.03,60.13,66.9,7855041.331
Solana,11/05/2022,SOL,66.9,68.44,43.17,50.9,11626123.02
Solana,12/05/2022,SOL,50.9,54.29,37.37,44.64,13635820.47
Solana,13/05/2022,SOL,44.64,56.99,43.83,48.92,8718594.5
Solana,14/05/2022,SOL,48.93,53.91,45.81,52.43,5099487.21
Solana,15/05/2022,SOL,52.43,59.31,49.63,58.83,3885558.77
Solana,16/05/2022,SOL,58.83,58.83,51.89,53.79,5418221.63
Solana,17/05/2022,SOL,53.8,58.22,53.04,57.02,4346066.59
Solana,18/05/2022,SOL,57.01,57.85,49.38,49.93,4470848.03
Solana,19/05/2022,SOL,49.93,54.09,48.2,52.2,4794335.94
Solana,20/05/2022,SOL,52.2,53.62,47.81,49.43,4811635.67
Solana,21/05/2022,SOL,49.42,51.21,48.43,50.31,1969104.94
Solana,22/05/2022,SOL,50.3,53.2,49.69,52.48,2723718.45
Solana,23/05/2022,SOL,52.48,54.68,48.61,49.17,4201654.88
Solana,24/05/2022,SOL,49.17,50.85,47.1,49.67,3645448.65
Solana,25/05/2022,SOL,49.67,50.55,47.57,47.98,3294918.76
Solana,26/05/2022,SOL,47.97,48.66,41.69,43.44,7025986.74
Solana,27/05/2022,SOL,43.44,43.95,39.93,41.17,7547814.8
Solana,28/05/2022,SOL,41.18,45.08,40.33,44.25,4317517.06
Solana,29/05/2022,SOL,44.24,45.67,41.79,44.98,4628871.1
Solana,30/05/2022,SOL,44.98,48.39,44.27,47.22,5476313.14
Solana,31/05/2022,SOL,47.22,48.24,44.56,45.77,4479536.73
Solana,01/06/2022,SOL,45.78,46.12,39.51,40.11,4778696.94
Solana,02/06/2022,SOL,40.11,41.65,38.13,40.85,5153870.27
Solana,03/06/2022,SOL,40.86,41.54,37.63,38.28,4437324.64
Solana,04/06/2022,SOL,38.28,39.5,35.71,39,3736176.79
Solana,05/06/2022,SOL,39.02,40.22,37.85,38.52,3618511.38
Solana,06/06/2022,SOL,38.53,44.87,38.33,42.39,6823258.3
Solana,07/06/2022,SOL,42.39,42.8,37.12,39.31,7677286.83
Solana,08/06/2022,SOL,39.32,40.96,38.28,38.83,3988154.3
Solana,09/06/2022,SOL,38.83,41.97,38.44,39.96,4587327.75
Solana,10/06/2022,SOL,39.96,40.9,36.8,37.17,4364643.34
Solana,11/06/2022,SOL,37.17,37.93,33.17,33.93,4638154.317
Solana,12/06/2022,SOL,33.94,34.5,30.56,30.61,6810748.104
Solana,13/06/2022,SOL,30.6,31.11,26.05,28.6,13336972.47
Solana,14/06/2022,SOL,28.59,32.32,25.86,29.59,11437619.27
Solana,15/06/2022,SOL,29.59,34.86,26.79,34.76,12673444.09
Solana,16/06/2022,SOL,34.75,36,29.52,30.12,10418712.66
Solana,17/06/2022,SOL,30.12,32.19,29.26,30.71,6274370.5
Solana,18/06/2022,SOL,30.72,32.06,27.15,32.02,9330644.34
Solana,19/06/2022,SOL,32.01,35.4,28.68,34.19,9253122.78
Solana,20/06/2022,SOL,34.19,36.9,31.73,35.24,8218146.8
Solana,21/06/2022,SOL,35.25,39.19,34.2,36.42,7429098.76
Solana,22/06/2022,SOL,36.42,36.87,33.65,34.12,6494707.01
Solana,23/06/2022,SOL,34.13,38.65,33.91,38.15,7002610.45
Solana,24/06/2022,SOL,38.15,42.92,37.67,41.91,6583046.23
Solana,25/06/2022,SOL,41.91,42.64,39.73,42.22,4294211.07
Solana,26/06/2022,SOL,42.22,42.49,39.14,39.39,4024143.84
Solana,27/06/2022,SOL,39.39,41.25,37.9,38.52,4172937.4
Solana,28/06/2022,SOL,38.5,39.9,35.02,35.35,5581335.85
Solana,29/06/2022,SOL,35.34,36.12,33.1,34.05,5755278.44
Solana,30/06/2022,SOL,34.06,34.2,30.92,33.76,5337105.46
Solana,01/07/2022,SOL,33.76,35.4,31.82,32.84,6155756.76
Solana,02/07/2022,SOL,32.85,34.14,31.87,33.36,2740500.19
Solana,03/07/2022,SOL,33.36,33.77,32.14,33.39,2394572.39
Solana,04/07/2022,SOL,33.4,36.94,32.45,36.71,4064615.13
Solana,05/07/2022,SOL,36.71,36.99,33.03,35.4,6098472.04
Solana,06/07/2022,SOL,35.41,37.65,34.8,37.04,5298552.9
Solana,07/07/2022,SOL,37.04,39.29,36.39,38.46,4091777.28
Solana,08/07/2022,SOL,38.46,39.72,36.46,38.12,5277992.76
Solana,09/07/2022,SOL,38.12,38.95,37.77,38.06,2088073.86
Solana,10/07/2022,SOL,38.06,38.14,36.26,36.71,2181587.6
Solana,11/07/2022,SOL,36.71,36.73,33.24,33.42,2927967.37
Solana,12/07/2022,SOL,33.42,34.61,32.6,32.68,3202970.4
Solana,13/07/2022,SOL,32.69,35.08,31.82,34.94,4798032.13
Solana,14/07/2022,SOL,34.94,37.31,33.58,37.15,5214767.02
Solana,15/07/2022,SOL,37.14,39.1,36.49,37.36,4440629.04
Solana,16/07/2022,SOL,37.36,40.41,36.35,39.58,3945225.2
Solana,17/07/2022,SOL,39.59,41.09,38.29,38.62,3795951.41
Solana,18/07/2022,SOL,38.61,44.07,38.55,43.52,6300282.95
Solana,19/07/2022,SOL,43.52,47.36,42.54,44.87,7876651.82
Solana,20/07/2022,SOL,44.87,46.3,41.24,42.04,6380441.74
Solana,21/07/2022,SOL,42.03,44.24,39.64,43.11,6134099.29
Solana,22/07/2022,SOL,43.1,44.33,40.03,40.54,4495729.55
Solana,23/07/2022,SOL,40.54,41.91,38.6,39.97,3421971.49
Solana,24/07/2022,SOL,39.97,42.1,39.47,40.93,3327219.47
Solana,25/07/2022,SOL,40.93,41.09,36.56,36.65,4237919.99
