Name,Date,Symbol,Open,High,Low,Close,Volume LINK
Chainlink,08/09/2021,LINK,28.25,29.19,25.18,27.16,13670715.16
Chainlink,09/09/2021,LINK,27.17,30.18,26.46,28.01,10379368.4
Chainlink,10/09/2021,LINK,28.01,29.56,25.62,26.39,9834554.01
Chainlink,11/09/2021,LINK,26.39,27.71,26.25,26.99,4993779.99
Chainlink,12/09/2021,LINK,27,29.77,26.36,29.42,6990717.38
Chainlink,13/09/2021,LINK,29.42,29.95,25.17,26.96,13538132.86
Chainlink,14/09/2021,LINK,26.96,30.85,26.73,30.8,10233565.39
Chainlink,15/09/2021,LINK,30.78,31.46,29.57,30.67,9772286.29
Chainlink,16/09/2021,LINK,30.68,32.11,29.04,29.8,9659752.1
Chainlink,17/09/2021,LINK,29.81,30.12,27.38,27.72,7110390.59
Chainlink,18/09/2021,LINK,27.73,29.46,27.39,28.39,4567816.67
Chainlink,19/09/2021,LINK,28.39,28.8,26.93,27.36,3892742.39
Chainlink,20/09/2021,LINK,27.37,27.43,23,23.57,12265514.89
Chainlink,21/09/2021,LINK,23.57,24.39,20.82,21.42,11263574.24
Chainlink,22/09/2021,LINK,21.42,24.5,21.03,24.45,7772096.46
Chainlink,23/09/2021,LINK,24.45,25.48,23.39,25.41,6813474.989
Chainlink,24/09/2021,LINK,25.42,25.5,21.35,23.26,10530560.3
Chainlink,25/09/2021,LINK,23.26,24.7,22.03,24.51,6978838.89
Chainlink,26/09/2021,LINK,24.5,25.38,22.36,24.6,11996414.44
Chainlink,27/09/2021,LINK,24.59,25.47,22.96,23.01,5674010.84
Chainlink,28/09/2021,LINK,23.02,23.75,22,22.1,6277178.15
Chainlink,29/09/2021,LINK,22.09,23.93,22.01,22.85,5352492.64
Chainlink,30/09/2021,LINK,22.85,24.4,22.72,24,5584599.18
Chainlink,01/10/2021,LINK,24,26.7,23.59,26.31,7425309.08
Chainlink,02/10/2021,LINK,26.32,27.81,25.82,26.89,5235579.85
Chainlink,03/10/2021,LINK,26.88,28.16,26.5,27.57,4506819.77
Chainlink,04/10/2021,LINK,27.56,27.67,25.59,26.6,5539695.96
Chainlink,05/10/2021,LINK,26.62,27.49,26.19,27.23,5119998.39
Chainlink,06/10/2021,LINK,27.23,28.19,25.2,26.8,6976264.13
Chainlink,07/10/2021,LINK,26.8,27.71,25.9,26.83,6025827.07
Chainlink,08/10/2021,LINK,26.84,27.46,26.12,26.39,4972738.23
Chainlink,09/10/2021,LINK,26.4,27.89,26.05,27.45,4731175.38
Chainlink,10/10/2021,LINK,27.45,27.49,25.44,25.56,3914402.57
Chainlink,11/10/2021,LINK,25.55,26.76,24.63,25.22,4293243.83
Chainlink,12/10/2021,LINK,25.22,25.27,23.53,24.65,5370932.72
Chainlink,13/10/2021,LINK,24.63,25.67,24.16,25.66,6207286.13
Chainlink,14/10/2021,LINK,25.67,27.88,25.38,26.72,7753968.37
Chainlink,15/10/2021,LINK,26.71,27.38,26.01,27.01,7635027.67
Chainlink,16/10/2021,LINK,27.01,28.7,26.92,27.23,6223161.96
Chainlink,17/10/2021,LINK,27.22,27.63,25.58,26.54,4590060.14
Chainlink,18/10/2021,LINK,26.54,26.74,25.26,25.71,4419668.63
Chainlink,19/10/2021,LINK,25.71,26.29,25.36,25.91,3568771.92
Chainlink,20/10/2021,LINK,25.9,27.66,25.85,27.49,4477050.21
Chainlink,21/10/2021,LINK,27.48,29.34,27.19,28.26,9719211.48
Chainlink,22/10/2021,LINK,28.27,30.04,28.02,28.67,7699280.53
Chainlink,23/10/2021,LINK,28.68,31.46,28.3,31.36,8142359.19
