Date(UTC),Pair,Side,Price,Executed,Amount,Fee,Amount($)
21/03/2021 16:32,MATICUSDT,BUY,0.39,26.5000000000MATIC,10.34162500USDT,0.0265000000MATIC,10.341625
21/03/2021 16:19,AVAUSDT,BUY,4.58,2.1900000000AVA,10.02297300USDT,0.0021900000AVA,10.022973
21/03/2021 16:06,TFUELUSDT,BUY,0.32,35.0000000000TFUEL,11.09500000USDT,0.0350000000TFUEL,11.095
21/03/2021 16:01,ADAUSDT,BUY,1.2,8.4000000000ADA,10.07689200USDT,0.0084000000ADA,10.076892
21/03/2021 15:54,INJUSDT,BUY,12.44,0.8700000000INJ,10.82558400USDT,0.0008700000INJ,10.825584
21/03/2021 15:53,CHZUSDT,BUY,0.58,18.3000000000CHZ,10.52451300USDT,0.0183000000CHZ,10.524513
21/03/2021 15:52,UNIUSDT,BUY,32.39,0.3200000000UNI,10.36531200USDT,0.0003200000UNI,10.365312
21/03/2021 15:52,ZILUSDT,BUY,0.17,61.8000000000ZIL,10.64319600USDT,0.0618000000ZIL,10.643196
21/03/2021 15:51,IOTAUSDT,BUY,1.37,7.6600000000IOTA,10.53020200USDT,0.0076600000IOTA,10.530202
18/03/2021 13:58,LINKUSDT,BUY,29.61,1.7100000000LINK,50.63395500USDT,0.0017100000LINK,50.633955
17/03/2021 14:08,ENJUSDT,BUY,2.35,10.4000000000ENJ,24.41691200USDT,0.0104000000ENJ,24.416912
17/03/2021 14:07,ENJUSDT,BUY,2.35,11.3000000000ENJ,26.52731500USDT,0.0113000000ENJ,26.527315
17/03/2021 14:05,VETUSDT,BUY,0.08,"1,127.0000000000VET",87.13738600USDT,1.1270000000VET,87.137386
16/03/2021 20:37,ETHUSDT,BUY,1794.84,0.2242600000ETH,402.51081840USDT,0.0002242600ETH,402.5108184
16/03/2021 19:55,THETAUSDT,BUY,7.02,7.3000000000THETA,51.23227600USDT,0.0073000000THETA,51.232276
16/03/2021 19:49,ADAUSDT,BUY,1.23,40.5000000000ADA,49.88871000USDT,0.0405000000ADA,49.88871
21/01/2021 15:26,ETHGBP,BUY,884.83,0.1135800000ETH,100.49899140GBPG,0.0000000000ETH,100.4989914
21/01/2021 15:09,BTCGBP,BUY,23022.06,0.0021500000BTC,49.49742900GBPG,0.0000000000BTC,49.497429
